month,ai_relevance_tercile,mean_usual_weekly_hours,sum_composite_weight
2019-01,low,37.117492617386,48895278.8492
2019-01,middle,38.053342544527,47417558.1971
2019-01,high,41.120433735554,48476559.5897
2019-02,low,37.180526450643,49287979.3572
2019-02,middle,37.748929711856,48015394.0855
2019-02,high,41.147598107242,48606255.976
2019-03,low,37.121134962036,50766298.8394
2019-03,middle,37.742519762943,48015706.7179
2019-03,high,41.370383344243,48675964.3387
2019-04,low,37.048011027358,50975716.869600005
2019-04,middle,37.781066016142,48053708.4604
2019-04,high,41.392809875282,48398500.9815
2019-05,low,37.310455910302,51008853.7941
2019-05,middle,38.078893230117,48098933.2619
2019-05,high,41.458109328611,48592302.522
2019-06,low,37.406060783717,51315499.3434
2019-06,middle,38.288280201451,47378093.328499995
2019-06,high,41.475209325209,49307437.0788
2019-07,low,37.565661284687,51415384.2917
2019-07,middle,38.329168174172,46630152.4496
2019-07,high,41.386267984423,49642524.3695
2019-08,low,37.468993499291,50771068.7673
2019-08,middle,38.592117647913,47619249.3917
2019-08,high,41.371230344406,49382046.8939
2019-09,low,37.226244715489,51169609.0438
2019-09,middle,38.276868788001,48018327.7537
2019-09,high,41.450268761262,49410582.25480001
2019-10,low,37.301420297569,51503486.3432
2019-10,middle,38.13914878875,48210386.2538
2019-10,high,41.397590977619,49590516.3456
2019-11,low,37.129788834164,50723019.4617
2019-11,middle,38.043375614954,48555892.2186
2019-11,high,41.367630711621,49952546.063
2019-12,low,37.177318452875,50729747.0312
2019-12,middle,37.975758192726,47866562.4296
2019-12,high,41.211800669813,49933587.7905
2020-01,low,36.920921890333,49522329.8256
2020-01,middle,37.789698246011,47380019.7726
2020-01,high,41.149917591672,50186412.03459999
2020-02,low,37.021682565302,49807882.3587
2020-02,middle,37.706965950812,48005257.7473
2020-02,high,41.041192738439,50793038.6109
2020-03,low,36.870392491287,48203092.5942
2020-03,middle,37.587747266449,47342166.8713
2020-03,high,41.042876639344,50694039.4226
2020-04,low,38.158246879839,36970146.778
2020-04,middle,38.003990727438,40772585.257300004
2020-04,high,41.120394590763,48178142.503199995
2020-05,low,37.88156313078,39009892.0338
2020-05,middle,37.983769310316,41866588.3658
2020-05,high,41.004407702173,49017826.714
2020-06,low,37.460685623449,41643769.0407
2020-06,middle,38.190853105837,43210597.0382
2020-06,high,41.094306154895,49670037.8442
2020-07,low,37.591739290003,43692613.2601
2020-07,middle,38.163858929415,42572582.5435
2020-07,high,41.11984363025,49639569.9243
2020-08,low,37.507952608387,44079893.7161
2020-08,middle,38.263398956679,44171507.8931
2020-08,high,41.346445341542,49842662.5488
2020-09,low,37.391946085148,45146183.35479999
2020-09,middle,38.018353230636,44883445.8874
2020-09,high,41.216944796337,48632933.5837
2020-10,low,37.085571108916,46766666.38520001
2020-10,middle,38.002989765032,45582069.2347
2020-10,high,41.153608019586,48677487.2768
2020-11,low,37.059614830696,46128794.8817
2020-11,middle,38.077282296739,46023387.8361
2020-11,high,41.04002855217,48994897.9637
2020-12,low,36.934919716541,45596269.2858
2020-12,middle,38.188515414275,45800523.3122
2020-12,high,40.977102076703,49652796.5687
2021-01,low,36.917660418527,44753062.0471
2021-01,middle,38.214207664765,44936549.4547
2021-01,high,40.9346752047,49270838.8543
2021-02,low,36.811928682201,45088948.8474
2021-02,middle,37.904886848989,45822842.5055
2021-02,high,40.889619575338,49715112.5517
2021-03,low,36.827468878724,45851850.6186
2021-03,middle,37.84708601088,45580162.1401
2021-03,high,40.990664008303,50257728.97100001
2021-04,low,36.982191117946,45911847.6122
2021-04,middle,38.04899788455,46224967.10450001
2021-04,high,41.114845783644,49410718.5372
2021-05,low,37.022711227833,46471342.429
2021-05,middle,38.119178268487,46101101.25069999
2021-05,high,41.152899826094,49552813.1289
2021-06,low,37.314338535512,47533668.9893
2021-06,middle,38.066282410671,45175418.0615
2021-06,high,41.065358508172,50386036.4748
2021-07,low,37.495571974669,48577526.6926
2021-07,middle,38.428357338961,44955379.8117
2021-07,high,41.058538036311,50638920.9307
2021-08,low,37.402312765789,48143732.3499
2021-08,middle,38.396127026707,44911670.7446
2021-08,high,41.168261371246,50152766.2849
2021-09,low,37.406464357848,48527108.7429
2021-09,middle,38.180953854082,45711201.1356
2021-09,high,41.145468666147,50559354.8975
2021-10,low,37.253297661063,48695550.1916
2021-10,middle,38.00905237066,46797703.5431
2021-10,high,41.067140959199,50380909.6232
2021-11,low,37.256326531798,48342987.0486
2021-11,middle,37.904537068025,46805030.7378
2021-11,high,41.051459282791,51164564.1139
2021-12,low,37.299549377975,48393472.5901
2021-12,middle,37.801542207964,46805423.7941
2021-12,high,40.953334651614,51286104.4671
2022-01,low,37.018979939235,47877957.514
2022-01,middle,37.862670769302,47303767.8177
2022-01,high,40.872316077672,51581531.9583
2022-02,low,36.949809551155,48511215.4607
2022-02,middle,37.819222381281,47107114.1397
2022-02,high,40.95172087393,52367007.5454
2022-03,low,36.922896625203,49245303.8794
2022-03,middle,37.7807541023,47796631.6525
2022-03,high,41.205409069864,52502498.9804
2022-04,low,36.823288879845,49256926.2669
2022-04,middle,37.797688796021,47868710.091900006
2022-04,high,41.142568918777,51922636.0646
2022-05,low,37.181306899362,49613550.22689999
2022-05,middle,38.038323201191,47481940.5413
2022-05,high,41.209795965295,52264622.7194
2022-06,low,37.426839327801,49837421.4536
2022-06,middle,38.172221387391,46775458.3193
2022-06,high,41.125735303593,52767051.3754
2022-07,low,37.409650047111,49384689.0869
2022-07,middle,38.450880583175,46691692.9087
2022-07,high,41.026664943814,53345368.7445
2022-08,low,37.46187331869,48515793.59200001
2022-08,middle,38.507232967001,46958774.9738
2022-08,high,41.014207203663,53669900.8481
2022-09,low,37.186325267492,49099864.5108
2022-09,middle,38.263108431368,47513898.9264
2022-09,high,40.953498638449,53417567.0697
2022-10,low,37.156604636183,49605741.6885
2022-10,middle,38.116850319752,47285361.6773
2022-10,high,40.955489283681,53257230.4922
2022-11,low,37.08225657003,48910181.0924
2022-11,middle,37.948438328779,47452117.3805
2022-11,high,40.878267284204,53523999.8072
2022-12,low,36.77616901837,48664477.7889
2022-12,middle,38.045846177374,47706211.2319
2022-12,high,40.671266400154,53560376.15
2023-01,low,36.582302221323,48284857.2297
2023-01,middle,37.962288205954,47446310.903
2023-01,high,40.581646946923,53820249.4324
2023-02,low,36.700308877468,48469665.375
2023-02,middle,37.695436112972,47947092.9331
2023-02,high,40.688705655671,54378736.2022
2023-03,low,36.84802317171,49238578.7677
2023-03,middle,37.774868981267,48301914.6589
2023-03,high,40.75039223328,54903249.1781
2023-04,low,36.920378311495,49571780.6672
2023-04,middle,37.853361605183,48125362.5077
2023-04,high,40.734387182067,54713116.8969
2023-05,low,36.908874454433,49929531.2349
2023-05,middle,37.868128601465,47355507.2563
2023-05,high,40.874047589309,55246929.2308
2023-06,low,37.231956686329,50045542.0382
2023-06,middle,38.229244184812,47324989.9678
2023-06,high,40.798133343814,55165721.067
2023-07,low,37.170556555721,50564639.0005
2023-07,middle,38.132619328918,47088109.9997
2023-07,high,40.843467518522,55285655.8555
2023-08,low,37.205438543209,50118973.2948
2023-08,middle,38.239190689641,47300604.0724
2023-08,high,40.812541601276,55153460.8866
2023-09,low,36.946334548261,49699881.5603
2023-09,middle,37.943030146004,48209293.6307
2023-09,high,40.753519494209,55178769.7572
2023-10,low,36.996568584097,49464120.7293
2023-10,middle,37.788335571008,47589438.938099995
2023-10,high,40.728746672356,55760600.4239
2023-11,low,36.700049647632,49940817.0561
2023-11,middle,37.708076237997,47683439.2559
2023-11,high,40.656844635433,55909415.4675
2023-12,low,36.612870763381,49493320.795700006
2023-12,middle,37.553772304733,47665757.9989
2023-12,high,40.451929346512,55063368.1947
2024-01,low,36.495295068535,48455938.2345
2024-01,middle,37.533087103406,47633481.8945
2024-01,high,40.427573721866,55147062.2972
2024-02,low,36.692217242035,49309006.0637
2024-02,middle,37.53852409932,48083852.141799994
2024-02,high,40.370778941442,54320074.8845
2024-03,low,36.599615513845,49405437.1196
2024-03,middle,37.342466744055,48631119.7619
2024-03,high,40.298304384519,55038238.0547
2024-04,low,36.82665704581,49801566.7612
2024-04,middle,37.548407379243,48250862.2062
2024-04,high,40.518381077892,55042905.6804
2024-05,low,36.737696529133,50138200.0712
2024-05,middle,37.776946605425,47678451.3787
2024-05,high,40.582310316188,55329799.21
2024-06,low,37.0611161046,49789452.6053
2024-06,middle,37.732516424666,46629900.908300005
2024-06,high,40.629573338724,56193105.5804
2024-07,low,37.211064346553,50498209.2403
2024-07,middle,37.919260899621,46523919.1245
2024-07,high,40.676755495592,55988365.9825
2024-08,low,37.174414316235,50460223.49059999
2024-08,middle,37.94716249289,46971131.057
2024-08,high,40.659658108808,55391162.23740001
2024-09,low,36.948204535349,49616319.8766
2024-09,middle,37.624737845837,47916376.7285
2024-09,high,40.604714454181,54775631.0338
2024-10,low,36.874615815447,49344470.3616
2024-10,middle,37.554973691137,47584289.570700005
2024-10,high,40.619629737651,55488870.3903
2024-11,low,36.672351268758,48453199.0075
2024-11,middle,37.506213101328,48559989.9114
2024-11,high,40.447068308096,55071248.4085
2024-12,low,36.543299944449,48132087.8087
2024-12,middle,37.496197751648,48319985.85779999
2024-12,high,40.483733343201,55237429.79010001
2025-01,low,36.566971409184,48330795.918
2025-01,middle,37.554546505028,48400826.7607
2025-01,high,40.423190610369,56111356.027
2025-02,low,36.518494805203,48324273.1263
2025-02,middle,37.4302966617,49675149.5934
2025-02,high,40.481864578595,56031903.561
2025-03,low,36.443035149349,49547605.0721
2025-03,middle,37.348885066935,48904794.9827
2025-03,high,40.523661570654,57039737.9725
2025-04,low,36.590570992205,50089358.44
2025-04,middle,37.355788423022,48731517.165
2025-04,high,40.470347230023,57089493.9628
2025-05,low,36.827954834048,50602116.7448
2025-05,middle,37.636035832558,48770327.7679
2025-05,high,40.444141111246,55796480.1655
2025-06,low,36.969086952255,50767271.9087
2025-06,middle,37.762369007282,48012852.6161
2025-06,high,40.418841809621,56254635.9555
2025-07,low,36.974691969702,51171254.8972
2025-07,middle,37.831093010159,47963793.9172
2025-07,high,40.501530151718,55902691.8959
2025-08,low,36.828018915364,50387565.1119
2025-08,middle,37.963565088912,48199852.1819
2025-08,high,40.454578540298,56609091.4631
2025-09,low,36.598408769361,50220528.5044
2025-09,middle,37.685155488417,49003557.7214
2025-09,high,40.565108496861,56603179.032
2025-11,low,36.394993920288,49330190.86919999
2025-11,middle,37.399803480004,50013645.7337
2025-11,high,40.398312854145,56549196.8283
2025-12,low,36.348646145485,49848407.13849999
2025-12,middle,37.571652618187,48597699.9995
2025-12,high,40.490682754056,56321580.4942
2026-01,low,36.313631054252,48538626.0315
2026-01,middle,37.391685117319,48579326.7928
2026-01,high,40.401024605342,55875919.4401
2026-02,low,36.387634121948,48433094.6188
2026-02,middle,37.33293775164,48344874.8047
2026-02,high,40.504941306362,56534269.1561
